0;202;582;1;145;;
1;202;504;0,2;143;;
2;202;454;3,1;141;;
3;202;426;2,4;146;;
4;202;360;6,5,7,3;;;
5;180;360;4;139;;
6;230;360;4;144;;
7;202;332;8,4;142;;
8;202;296;7,9,10,11;;;
9;230;296;8;140;;
10;180;296;8;137;;
11;202;196;8,12;р137;;
12;202;126;11,13,17;р135;;
13;202;78;12,14;;;
14;310;78;13,15;Л1;Л;
15;388;78;16,14,26;;;
16;388;126;17,15,18;;;
17;296;126;16,12;138а;;
18;388;156;16,19;138;;
19;580;156;18;135;;
20;618;156;21;134;;
21;656;156;20,22;132;;
22;698;156;21,23;130;;
23;740;156;22,24;128;;
24;780;156;23,25;126;;
25;812;156;24,30;124;;
26;554;78;15,27;Ул;Ул;
27;812;78;26,28,30;;;
28;886;78;27,29;Л2;Л;
29;950;78;28,32;;;
30;812;126;25,27,31;;;
31;864;126;30,32;;;
32;950;126;37,31,33,29;;;
33;986;126;32,34;127;;
34;1072;126;35,33;127а;;
35;1092;126;36,34;129;;
36;1122;126;35;125;;
37;950;156;32,38;124а;;
38;950;332;37,39,40;125;;
39;886;332;38;122;;
40;950;372;38,41;123;;
41;950;410;42,40,43;121;;
42;886;410;41;120;;
43;950;480;41,44;118;;
44;950;504;43,45;119;;
45;950;530;44,46;116;;
46;950;558;45,47;117;;
47;950;582;46,48;114;;
48;950;608;47,49;115;;
49;950;630;48,50;112;;
50;950;652;49,51;113;;
51;950;670;50,52;;;
52;950;694;51,53;111;;
53;950;736;52,54,55;109;;
54;886;736;53;108;;
55;950;772;53,56;106;;
56;950;802;55,57;107;;
57;950;824;56,58;104;;
58;950;846;57,59;105;;
59;950;876;58,60,61;102;;
60;986;876;59;103;;
61;950;924;59;101;;
