0;194;854;1;344;;
1;194;768;0,2;342а;;
2;194;718;1,3;345;;
3;194;608;2,4;342;;
4;194;568;3,5,6;340а;;
5;126;568;4;343;;
6;194;526;4,7;340;;
7;194;474;6,8;338;;
8;194;430;7,9;336;;
9;194;378;8,11,10,12;;;
10;214;378;9;334;;
11;162;378;9;341;;
12;194;336;9,13;341а;;
13;194;280;12,14;339а;;
14;194;136;13,15,17;;;
15;194;64;14,16;339;;
16;248;64;15;Л1;Л;
17;248;136;14,18;332б;;
18;332;136;17,19;332;;
19;472;136;20,21,18,22;;;
20;472;114;19;335;;
21;472;158;19;330;;
22;502;136;19,23;333;;
23;534;136;24,25,22,26;;;
24;534;114;23;331;;
25;534;158;23;328;;
26;568;136;23,27;326;;
27;636;136;28,26;324;;
28;676;136;27,29;329;;
29;700;136;28,30;327;;
30;842;136;29,31,35;;;
31;842;64;33,32,30;;;
32;790;64;31;Л2;Л;
33;842;34;31,34;;;
34;886;34;33;325;;
35;842;378;36,37,38,30;;;
36;860;378;35;323;;
37;822;378;35;322;;
38;842;430;40,39,35,41;;;
39;860;430;38;321;;
40;822;430;38;320;;
41;842;474;38,42;319;;
42;842;500;41,43;317;;
43;842;526;42,44,45;318;;
44;810;526;43;316;;
45;842;586;46,47,48,43;;;
46;810;586;45;314;;
47;860;586;45;315;;
48;842;634;45,49;313;;
49;842;652;50,48;314а;;
50;842;678;49,51;312;;
51;842;718;50,52;311;;
52;842;742;51,53;308;;
53;842;768;52,54;309а;;
54;842;806;56,55,53,57;;;
55;860;806;54;309б;;
56;822;806;54;306;;
57;842;898;54,58;304;;
58;842;924;59,57;305;;
59;842;966;58,60;302;;
60;842;990;59,61;303а;;
61;842;1022;60,62;303;;
62;842;1062;61;301;;
