0;460;890;1,34;Р
1;460;580;0,2,3;
2;525;580;1,4,15;
3;325;580;1;Х
4;565;580;2,5;Ф
5;630;580;4,22,24;
6;630;480;22,7;
7;630;460;6,8,16;
8;630;405;7,9,17;
9;630;385;8,10,11;
10;630;300;9,11;
11;520;300;10,12,13,9;
12;520;225;11;С
13;520;400;11,14,8;
14;520;460;13,7,15;
15;520;550;14,6,2;
16;630;445;7,17,18;
17;630;417;8,16,19;
18;740;445;16,19,20;
19;740;417;17,18,20;
20;740;430;18,19,21;
21;760;430;20;ГУК
22;630;560;5,6,23;
23;645;560;22;И
24;770;580;5,25;
25;780;595;24,26;
26;905;595;25,27,28;
27;925;645;26,28,29;
28;925;595;27,26;
29;925;670;27,30;Т
30;925;840;29,31;
31;935;855;30,32;
32;935;965;31,33;
33;525;965;32,2,34;
34;460;965;33,0;
